time,unit,station,part,family,type,activity
170,ms,PizzaSource,PZ_1000_1,PZ,PZ_1000,EXIT
170,ms,PizzaSource,PZ_1000_3,PZ,PZ_1000,ENTER
630,ms,PalletSource,PAL_000001,PAL,PAL,EXIT
630,ms,PalletSource,PAL_000002,PAL,PAL,ENTER
3170,ms,Oven,PZ_1000_1,PZ,PZ_1000,ENTER
3670,ms,PizzaSource,PZ_1000_3,PZ,PZ_1000,EXIT
3670,ms,PizzaSource,PZ_1000_4,PZ,PZ_1000,ENTER
5590,ms,Oven,PZ_1000_1,PZ,PZ_1000,EXIT
6660,ms,Oven,PZ_1000_3,PZ,PZ_1000,ENTER
7150,ms,PizzaSource,PZ_1000_4,PZ,PZ_1000,EXIT
7150,ms,PizzaSource,PZ_1000_5,PZ,PZ_1000,ENTER
7690,ms,Freezer,PZ_1000_1,PZ,PZ_1000,ENTER
9080,ms,Oven,PZ_1000_3,PZ,PZ_1000,EXIT
10140,ms,Oven,PZ_1000_4,PZ,PZ_1000,ENTER
10640,ms,PizzaSource,PZ_1000_5,PZ,PZ_1000,EXIT
10640,ms,PizzaSource,PZ_1000_6,PZ,PZ_1000,ENTER
11190,ms,Freezer,PZ_1000_3,PZ,PZ_1000,ENTER
12560,ms,Oven,PZ_1000_4,PZ,PZ_1000,EXIT
13630,ms,Oven,PZ_1000_5,PZ,PZ_1000,ENTER
14190,ms,PizzaSource,PZ_1000_6,PZ,PZ_1000,EXIT
14190,ms,PizzaSource,PZ_1000_7,PZ,PZ_1000,ENTER
14670,ms,Freezer,PZ_1000_4,PZ,PZ_1000,ENTER
16050,ms,Oven,PZ_1000_5,PZ,PZ_1000,EXIT
17190,ms,Oven,PZ_1000_6,PZ,PZ_1000,ENTER
17680,ms,PizzaSource,PZ_1000_7,PZ,PZ_1000,EXIT
17680,ms,PizzaSource,PZ_1000_8,PZ,PZ_1000,ENTER
18160,ms,Freezer,PZ_1000_5,PZ,PZ_1000,ENTER
19610,ms,Oven,PZ_1000_6,PZ,PZ_1000,EXIT
20680,ms,Oven,PZ_1000_7,PZ,PZ_1000,ENTER
21160,ms,PizzaSource,PZ_1000_8,PZ,PZ_1000,EXIT
21160,ms,PizzaSource,PZ_1000_9,PZ,PZ_1000,ENTER
21720,ms,Freezer,PZ_1000_6,PZ,PZ_1000,ENTER
23100,ms,Oven,PZ_1000_7,PZ,PZ_1000,EXIT
23950,ms,Freezer,PZ_1000_1,PZ,PZ_1000,EXIT
24150,ms,Oven,PZ_1000_8,PZ,PZ_1000,ENTER
24630,ms,PizzaSource,PZ_1000_9,PZ,PZ_1000,EXIT
24630,ms,PizzaSource,PZ_1000_10,PZ,PZ_1000,ENTER
25200,ms,Freezer,PZ_1000_7,PZ,PZ_1000,ENTER
26570,ms,Oven,PZ_1000_8,PZ,PZ_1000,EXIT
26610,ms,PackStation,PZ_1000_1,PZ,PZ_1000,ENTER
27440,ms,Freezer,PZ_1000_3,PZ,PZ_1000,EXIT
27630,ms,Oven,PZ_1000_9,PZ,PZ_1000,ENTER
28180,ms,PizzaSource,PZ_1000_10,PZ,PZ_1000,EXIT
28180,ms,PizzaSource,PZ_1000_11,PZ,PZ_1000,ENTER
28680,ms,Freezer,PZ_1000_8,PZ,PZ_1000,ENTER
30050,ms,Oven,PZ_1000_9,PZ,PZ_1000,EXIT
30100,ms,PackStation,PZ_1000_3,PZ,PZ_1000,ENTER
30920,ms,Freezer,PZ_1000_4,PZ,PZ_1000,EXIT
31180,ms,Oven,PZ_1000_10,PZ,PZ_1000,ENTER
31710,ms,PizzaSource,PZ_1000_11,PZ,PZ_1000,EXIT
31710,ms,PizzaSource,PZ_1000_13,PZ,PZ_1000,ENTER
32150,ms,Freezer,PZ_1000_9,PZ,PZ_1000,ENTER
33600,ms,Oven,PZ_1000_10,PZ,PZ_1000,EXIT
34100,ms,PackStation,PACK_1000_000001,PACK,PACK_1000,EXIT_AP
34410,ms,Freezer,PZ_1000_5,PZ,PZ_1000,EXIT
34710,ms,Oven,PZ_1000_11,PZ,PZ_1000,ENTER
35040,ms,PackStation,PZ_1000_4,PZ,PZ_1000,ENTER
35210,ms,PizzaSource,PZ_1000_13,PZ,PZ_1000,EXIT
35210,ms,PizzaSource,PZ_1000_14,PZ,PZ_1000,ENTER
35710,ms,Freezer,PZ_1000_10,PZ,PZ_1000,ENTER
37070,ms,PackStation,PZ_1000_5,PZ,PZ_1000,ENTER
37130,ms,Oven,PZ_1000_11,PZ,PZ_1000,EXIT
37970,ms,Freezer,PZ_1000_6,PZ,PZ_1000,EXIT
38210,ms,Oven,PZ_1000_13,PZ,PZ_1000,ENTER
38420,ms,BoxStation,PACK_1000_000001,PACK,PACK_1000,ENTER
38720,ms,PizzaSource,PZ_1000_14,PZ,PZ_1000,EXIT
38720,ms,PizzaSource,PZ_1000_16,PZ,PZ_1000,ENTER
39230,ms,Freezer,PZ_1000_11,PZ,PZ_1000,ENTER
40630,ms,Oven,PZ_1000_13,PZ,PZ_1000,EXIT
41430,ms,PackStation,PACK_1000_000002,PACK,PACK_1000,EXIT_AP
41460,ms,Freezer,PZ_1000_7,PZ,PZ_1000,EXIT
41720,ms,Oven,PZ_1000_14,PZ,PZ_1000,ENTER
42260,ms,PizzaSource,PZ_1000_16,PZ,PZ_1000,EXIT
42260,ms,PizzaSource,PZ_1000_17,PZ,PZ_1000,ENTER
42370,ms,PackStation,PZ_1000_6,PZ,PZ_1000,ENTER
42740,ms,Freezer,PZ_1000_13,PZ,PZ_1000,ENTER
44120,ms,PackStation,PZ_1000_7,PZ,PZ_1000,ENTER
44140,ms,Oven,PZ_1000_14,PZ,PZ_1000,EXIT
44930,ms,Freezer,PZ_1000_8,PZ,PZ_1000,EXIT
45250,ms,Oven,PZ_1000_16,PZ,PZ_1000,ENTER
45750,ms,BoxStation,PACK_1000_000002,PACK,PACK_1000,ENTER
45790,ms,PizzaSource,PZ_1000_17,PZ,PZ_1000,EXIT
45790,ms,PizzaSource,PZ_1000_19,PZ,PZ_1000,ENTER
46250,ms,Freezer,PZ_1000_14,PZ,PZ_1000,ENTER
47670,ms,Oven,PZ_1000_16,PZ,PZ_1000,EXIT
47850,ms,PackStation,PACK_1000_000003,PACK,PACK_1000,EXIT_AP
48410,ms,Freezer,PZ_1000_9,PZ,PZ_1000,EXIT
48790,ms,Oven,PZ_1000_17,PZ,PZ_1000,ENTER
48790,ms,PackStation,PZ_1000_8,PZ,PZ_1000,ENTER
49340,ms,PizzaSource,PZ_1000_19,PZ,PZ_1000,EXIT
49340,ms,PizzaSource,PZ_1000_20,PZ,PZ_1000,ENTER
49780,ms,Freezer,PZ_1000_16,PZ,PZ_1000,ENTER
51070,ms,PackStation,PZ_1000_9,PZ,PZ_1000,ENTER
51210,ms,Oven,PZ_1000_17,PZ,PZ_1000,EXIT
51960,ms,Freezer,PZ_1000_10,PZ,PZ_1000,EXIT
52170,ms,BoxStation,PACK_1000_000003,PACK,PACK_1000,ENTER
52340,ms,Oven,PZ_1000_19,PZ,PZ_1000,ENTER
52790,ms,PizzaSource,PZ_1000_20,PZ,PZ_1000,EXIT
52790,ms,PizzaSource,PZ_1000_22,PZ,PZ_1000,ENTER
53320,ms,Freezer,PZ_1000_17,PZ,PZ_1000,ENTER
54750,ms,Oven,PZ_1000_19,PZ,PZ_1000,EXIT
55180,ms,PackStation,PACK_1000_000004,PACK,PACK_1000,EXIT_AP
55490,ms,Freezer,PZ_1000_11,PZ,PZ_1000,EXIT
55780,ms,Oven,PZ_1000_20,PZ,PZ_1000,ENTER
56120,ms,PackStation,PZ_1000_10,PZ,PZ_1000,ENTER
56330,ms,PizzaSource,PZ_1000_22,PZ,PZ_1000,EXIT
56330,ms,PizzaSource,PZ_1000_24,PZ,PZ_1000,ENTER
56860,ms,Freezer,PZ_1000_19,PZ,PZ_1000,ENTER
58150,ms,PackStation,PZ_1000_11,PZ,PZ_1000,ENTER
58200,ms,Oven,PZ_1000_20,PZ,PZ_1000,EXIT
58990,ms,Freezer,PZ_1000_13,PZ,PZ_1000,EXIT
59320,ms,Oven,PZ_1000_22,PZ,PZ_1000,ENTER
59320,ms,BoxStation,BOX_1000_000001,BOX,BOX_1000,EXIT_AP
59860,ms,PizzaSource,PZ_1000_24,PZ,PZ_1000,EXIT
59860,ms,PizzaSource,PZ_1000_26,PZ,PZ_1000,ENTER
60150,ms,BoxStation,PACK_1000_000004,PACK,PACK_1000,ENTER
60310,ms,Freezer,PZ_1000_20,PZ,PZ_1000,ENTER
61740,ms,Oven,PZ_1000_22,PZ,PZ_1000,EXIT
62120,ms,PackStation,PACK_1000_000005,PACK,PACK_1000,EXIT_AP
62350,ms,PalletStation,BOX_1000_000001,BOX,BOX_1000,ENTER
62500,ms,Freezer,PZ_1000_14,PZ,PZ_1000,EXIT
62850,ms,Oven,PZ_1000_24,PZ,PZ_1000,ENTER
63060,ms,PackStation,PZ_1000_13,PZ,PZ_1000,ENTER
63350,ms,PizzaSource,PZ_1000_26,PZ,PZ_1000,EXIT
63350,ms,PizzaSource,PZ_1000_27,PZ,PZ_1000,ENTER
63850,ms,Freezer,PZ_1000_22,PZ,PZ_1000,ENTER
65160,ms,PackStation,PZ_1000_14,PZ,PZ_1000,ENTER
65270,ms,Oven,PZ_1000_24,PZ,PZ_1000,EXIT
66030,ms,Freezer,PZ_1000_16,PZ,PZ_1000,EXIT
66340,ms,Oven,PZ_1000_26,PZ,PZ_1000,ENTER
66440,ms,BoxStation,PACK_1000_000005,PACK,PACK_1000,ENTER
66880,ms,PizzaSource,PZ_1000_27,PZ,PZ_1000,EXIT
66880,ms,PizzaSource,PZ_1000_29,PZ,PZ_1000,ENTER
67380,ms,Freezer,PZ_1000_24,PZ,PZ_1000,ENTER
68760,ms,Oven,PZ_1000_26,PZ,PZ_1000,EXIT
69080,ms,PackStation,PACK_1000_000006,PACK,PACK_1000,EXIT_AP
69570,ms,Freezer,PZ_1000_17,PZ,PZ_1000,EXIT
69880,ms,Oven,PZ_1000_27,PZ,PZ_1000,ENTER
70020,ms,PackStation,PZ_1000_16,PZ,PZ_1000,ENTER
70420,ms,PizzaSource,PZ_1000_29,PZ,PZ_1000,EXIT
70420,ms,PizzaSource,PZ_1000_30,PZ,PZ_1000,ENTER
70870,ms,Freezer,PZ_1000_26,PZ,PZ_1000,ENTER
72230,ms,PackStation,PZ_1000_17,PZ,PZ_1000,ENTER
72300,ms,Oven,PZ_1000_27,PZ,PZ_1000,EXIT
73120,ms,Freezer,PZ_1000_19,PZ,PZ_1000,EXIT
73400,ms,BoxStation,PACK_1000_000006,PACK,PACK_1000,ENTER
73420,ms,Oven,PZ_1000_29,PZ,PZ_1000,ENTER
73920,ms,PizzaSource,PZ_1000_30,PZ,PZ_1000,EXIT
73920,ms,PizzaSource,PZ_1000_32,PZ,PZ_1000,ENTER
74410,ms,Freezer,PZ_1000_27,PZ,PZ_1000,ENTER
75840,ms,Oven,PZ_1000_29,PZ,PZ_1000,EXIT
76240,ms,PackStation,PACK_1000_000007,PACK,PACK_1000,EXIT_AP
76560,ms,Freezer,PZ_1000_20,PZ,PZ_1000,EXIT
76920,ms,Oven,PZ_1000_30,PZ,PZ_1000,ENTER
77180,ms,PackStation,PZ_1000_19,PZ,PZ_1000,ENTER
