time,station,part,family,type,activity
14400,PalletSource,PAL_000001,PAL,PAL,EXIT
14400,PalletSource,PAL_000002,PAL,PAL,ENTER
17908,PizzaSource,PZ_1000_1,PZ,PZ_1000,EXIT
17908,PizzaSource,PZ_1000_2,PZ,PZ_1000,ENTER
48946,PalletStation,PAL_000001,PAL,PAL,ENTER
57867,PizzaSource,PZ_1000_2,PZ,PZ_1000,EXIT
57867,PizzaSource,PZ_1000_3,PZ,PZ_1000,ENTER
84170,NewBoxWarehouse,BOX_000001,BOX,BOX,ENTER
84170,NewBoxWarehouse,BOX_000002,BOX,BOX,ENTER
84170,NewBoxWarehouse,BOX_000003,BOX,BOX,ENTER
84170,NewBoxWarehouse,BOX_000004,BOX,BOX,ENTER
84170,NewBoxWarehouse,BOX_000005,BOX,BOX,ENTER
84170,NewBoxWarehouse,BOX_000006,BOX,BOX,ENTER
84170,NewBoxWarehouse,BOX_000007,BOX,BOX,ENTER
84170,NewBoxWarehouse,BOX_000008,BOX,BOX,ENTER
84170,NewBoxWarehouse,BOX_000009,BOX,BOX,ENTER
84170,NewBoxWarehouse,BOX_000010,BOX,BOX,ENTER
84170,NewBoxWarehouse,BOX_000011,BOX,BOX,ENTER
84170,NewBoxWarehouse,BOX_000012,BOX,BOX,ENTER
84170,NewBoxWarehouse,BOX_000013,BOX,BOX,ENTER
84170,NewBoxWarehouse,BOX_000014,BOX,BOX,ENTER
84170,NewBoxWarehouse,BOX_000015,BOX,BOX,ENTER
84170,NewBoxWarehouse,BOX_000016,BOX,BOX,ENTER
84170,NewBoxWarehouse,BOX_000017,BOX,BOX,ENTER
84170,NewBoxWarehouse,BOX_000018,BOX,BOX,ENTER
84170,NewBoxWarehouse,BOX_000019,BOX,BOX,ENTER
84170,NewBoxWarehouse,BOX_000020,BOX,BOX,ENTER
84170,NewBoxWarehouse,BOX_000021,BOX,BOX,ENTER
84170,NewBoxWarehouse,BOX_000022,BOX,BOX,ENTER
84170,NewBoxWarehouse,BOX_000023,BOX,BOX,ENTER
84170,NewBoxWarehouse,BOX_000024,BOX,BOX,ENTER
84170,NewBoxWarehouse,BOX_000025,BOX,BOX,ENTER
84170,NewBoxWarehouse,BOX_000026,BOX,BOX,ENTER
84170,NewBoxWarehouse,BOX_000027,BOX,BOX,ENTER
84170,NewBoxWarehouse,BOX_000028,BOX,BOX,ENTER
84170,NewBoxWarehouse,BOX_000029,BOX,BOX,ENTER
84170,NewBoxWarehouse,BOX_000030,BOX,BOX,ENTER
84170,NewBoxWarehouse,BOX_000031,BOX,BOX,ENTER
